Txhash,                        BlockTimeUnix,                        BlockTime,                        Fee(SOL),                        TokenAccount,                        ChangeType,                        ChangeAmount,                        PreBalancer,                        PostBalancer,                        TokenAddress,                        TokenDecimals,                        TokenMultiplier
4mzgAGN3vdhtrunh1ShAPa282saJ7ah7nidsaNDUeh648WfgXVXSTybnnXZDVMwJXjYQH33bXUjkyLr8Mt2fJcjn,1754165130,2025-08-02T20:05:30,0.000005,6KNbsP3eLVsFEJY9mJUz8h47B6X1GDh1RnYQPgsiCD1a,dec,6000,472356773,472350773,So11111111111111111111111111111111111111111,9,1.0
57viUwBCnX2yrnPaCgDNCEnPUP3W1RdeQfe273quWj1nG6dDif1wSKr4pB2rR2Hv3QpWrooS7j1kGpbQBW1QipFn,1754165130,2025-08-02T20:05:30,0.000005003,68DQG6q2xo2A97NQaLCL6WZfMboDD899sZy5Ja7jNkc2,inc,2458301511506,1461795590665,3920097102171,7j7YJMZcuCcwdC784WJmAvTpBCAF2RvTBU8sBKMSV4hq,6,1.0
57viUwBCnX2yrnPaCgDNCEnPUP3W1RdeQfe273quWj1nG6dDif1wSKr4pB2rR2Hv3QpWrooS7j1kGpbQBW1QipFn,1754165130,2025-08-02T20:05:30,0.000005003,6KNbsP3eLVsFEJY9mJUz8h47B6X1GDh1RnYQPgsiCD1a,dec,335360849,807717622,472356773,So11111111111111111111111111111111111111111,9,1.0
56n6CvoxJw17wFDMkCfGtxN5EF67TjNLfXg2inN5wK72czWGKtbcFwceemrHsFw9GZfpPEP2xw4oc5Bt8PTpBwaz,1754165123,2025-08-02T20:05:23,0.000005,6KNbsP3eLVsFEJY9mJUz8h47B6X1GDh1RnYQPgsiCD1a,dec,6000,807723622,807717622,So11111111111111111111111111111111111111111,9,1.0
3bPeCEkWoM3MB5UxwZwqe7Dawqb8sYfmm1d7JV7myGnbK4JW63mHnSUb7CTqjHbyP6Svu9ii2wghThnKE4j1Hqw7,1754165123,2025-08-02T20:05:23,0.000005002,68DQG6q2xo2A97NQaLCL6WZfMboDD899sZy5Ja7jNkc2,dec,5734062846825,7195858437490,1461795590665,7j7YJMZcuCcwdC784WJmAvTpBCAF2RvTBU8sBKMSV4hq,6,1.0
3bPeCEkWoM3MB5UxwZwqe7Dawqb8sYfmm1d7JV7myGnbK4JW63mHnSUb7CTqjHbyP6Svu9ii2wghThnKE4j1Hqw7,1754165123,2025-08-02T20:05:23,0.000005002,6KNbsP3eLVsFEJY9mJUz8h47B6X1GDh1RnYQPgsiCD1a,inc,786034274,21689348,807723622,So11111111111111111111111111111111111111111,9,1.0
55GkiF8eABfB4vPLmX8n3u9otLbfeAQqkLiUiTcBfckQtCKFxPdrNrYbupCkPTyzuLKhnU7ek3Nx1dkEmcP1Aha9,1754165121,2025-08-02T20:05:21,0.000005,6KNbsP3eLVsFEJY9mJUz8h47B6X1GDh1RnYQPgsiCD1a,dec,6000,21695348,21689348,So11111111111111111111111111111111111111111,9,1.0
5e7ksSCY4TgYfudU91wwBbR4KE33uSAsFfopka8eFFeeVfLBaCA9fGfuT3Cq3tRHBNoW8bSQwqmSxvJRENBt1fC3,1754165121,2025-08-02T20:05:21,0.000005003,68DQG6q2xo2A97NQaLCL6WZfMboDD899sZy5Ja7jNkc2,inc,1545183450302,5650674987188,7195858437490,7j7YJMZcuCcwdC784WJmAvTpBCAF2RvTBU8sBKMSV4hq,6,1.0
5e7ksSCY4TgYfudU91wwBbR4KE33uSAsFfopka8eFFeeVfLBaCA9fGfuT3Cq3tRHBNoW8bSQwqmSxvJRENBt1fC3,1754165121,2025-08-02T20:05:21,0.000005003,6KNbsP3eLVsFEJY9mJUz8h47B6X1GDh1RnYQPgsiCD1a,dec,216109206,237804554,21695348,So11111111111111111111111111111111111111111,9,1.0
3QhNPYiQzes6zAZampaKhq6wjWjS31cLoZVpzitPBCBN2iZRgeUWrz4UA27apzfVzgoPvDa25hRm1gUenGA9fZnC,1754165076,2025-08-02T20:04:36,0.000005,6KNbsP3eLVsFEJY9mJUz8h47B6X1GDh1RnYQPgsiCD1a,dec,6000,237810554,237804554,So11111111111111111111111111111111111111111,9,1.0
36ZVrssH84L6Ka5zisnau9SXCJxdc9gmdAiNUCiJMabcRr1Wu4CkytNVwDhRJiKmajgXhuJp3z4sjhFAg9n5CeYs,1754165076,2025-08-02T20:04:36,0.000005003,68DQG6q2xo2A97NQaLCL6WZfMboDD899sZy5Ja7jNkc2,inc,3010271771544,2640403215644,5650674987188,7j7YJMZcuCcwdC784WJmAvTpBCAF2RvTBU8sBKMSV4hq,6,1.0
36ZVrssH84L6Ka5zisnau9SXCJxdc9gmdAiNUCiJMabcRr1Wu4CkytNVwDhRJiKmajgXhuJp3z4sjhFAg9n5CeYs,1754165076,2025-08-02T20:04:36,0.000005003,6KNbsP3eLVsFEJY9mJUz8h47B6X1GDh1RnYQPgsiCD1a,dec,419361328,657171882,237810554,So11111111111111111111111111111111111111111,9,1.0
5qagn7KN8J8Q8i7Pw3n5J7FFUNbSkapTPP6L222qUkdFfao6xSBJWoDWbtiL5SS1ZYohfmorC1KyPb4tuzsxRwfd,1754165068,2025-08-02T20:04:28,0.000005,6KNbsP3eLVsFEJY9mJUz8h47B6X1GDh1RnYQPgsiCD1a,dec,6000,657177882,657171882,So11111111111111111111111111111111111111111,9,1.0
4HvPYGxt6Vi1cMGiyYbNZiSH5AhzMtNMVHbJUWyW8v9i69D2Z6Kyhb9G8nkvBHLN9f6UYZpfidvBNp1V1V6FPN8G,1754165068,2025-08-02T20:04:28,0.000005003,68DQG6q2xo2A97NQaLCL6WZfMboDD899sZy5Ja7jNkc2,inc,2640403213491,2153,2640403215644,7j7YJMZcuCcwdC784WJmAvTpBCAF2RvTBU8sBKMSV4hq,6,1.0
4HvPYGxt6Vi1cMGiyYbNZiSH5AhzMtNMVHbJUWyW8v9i69D2Z6Kyhb9G8nkvBHLN9f6UYZpfidvBNp1V1V6FPN8G,1754165068,2025-08-02T20:04:28,0.000005003,6KNbsP3eLVsFEJY9mJUz8h47B6X1GDh1RnYQPgsiCD1a,dec,367588288,1024766170,657177882,So11111111111111111111111111111111111111111,9,1.0
2qdHjPFC3WfEonbeCMUgHJwQqFcHDFkfBdabzHHJENfutsBGNsUE79KnbvHUcYtzixunbgSVH2wG5KRtsWdtbZdR,1754165034,2025-08-02T20:03:54,0.000005,6KNbsP3eLVsFEJY9mJUz8h47B6X1GDh1RnYQPgsiCD1a,dec,6000,1024772170,1024766170,So11111111111111111111111111111111111111111,9,1.0
