Txhash,BlockTimeUnix,BlockTime,Fee(SOL),TokenAccount,ChangeType,ChangeAmount,PreBalancer,PostBalancer,TokenAddress,TokenDecimals,TokenMultiplier
43pK6A52GTFpr8qYZteN26ynBRzS3UKKLN66EeGyTeJx5siV72inuHjQAY6Wdw563A2Cp92vV4bMtSHNroVJCyNP,1754203934,2025-08-03T08:52:14,0.001005,YVLAJcjRV5pL7iG34obr2SrqWNEhMMFC5zCQ33Zc1ps,inc,2101563200,13973321022,16074884223,Ci4VBQjNUxeJc5AMDwcvaqFhgPDbj6N7YApqGusfbonk,6,1.0
43pK6A52GTFpr8qYZteN26ynBRzS3UKKLN66EeGyTeJx5siV72inuHjQAY6Wdw563A2Cp92vV4bMtSHNroVJCyNP,1754203934,2025-08-03T08:52:14,0.001005,GpMZbSM2GgvTKHJirzeGfMFoaZ8UR2X7F4v8vHTvxFbL,dec,2101563200,95176571606842,95174470043641,Ci4VBQjNUxeJc5AMDwcvaqFhgPDbj6N7YApqGusfbonk,6,1.0
3pdRZiiX8LbAEJGYsxZNoVEDPMfo7UtT9rRd84mFLd69imL9E3AyNPEaes4YKaEqFknkttWKWPRUKo3QUMcDn2ju,1754203929,2025-08-03T08:52:09,0.001005,YVLAJcjRV5pL7iG34obr2SrqWNEhMMFC5zCQ33Zc1ps,inc,1932632754,12040688268,13973321022,Ci4VBQjNUxeJc5AMDwcvaqFhgPDbj6N7YApqGusfbonk,6,1.0
3pdRZiiX8LbAEJGYsxZNoVEDPMfo7UtT9rRd84mFLd69imL9E3AyNPEaes4YKaEqFknkttWKWPRUKo3QUMcDn2ju,1754203929,2025-08-03T08:52:09,0.001005,GpMZbSM2GgvTKHJirzeGfMFoaZ8UR2X7F4v8vHTvxFbL,dec,1932632753,95188673332728,95186740699974,Ci4VBQjNUxeJc5AMDwcvaqFhgPDbj6N7YApqGusfbonk,6,1.0
wwx9oYGb8Zs5EU4JYHvFtsSmH8tWwcKJMvEyQ9ajK7PEZUkyVZdsorRhc38kWidDfFvNoxTVQqY9Jj31419Cxs2,1754203927,2025-08-03T08:52:07,0.001005,YVLAJcjRV5pL7iG34obr2SrqWNEhMMFC5zCQ33Zc1ps,inc,2105297441,9935390826,12040688268,Ci4VBQjNUxeJc5AMDwcvaqFhgPDbj6N7YApqGusfbonk,6,1.0
wwx9oYGb8Zs5EU4JYHvFtsSmH8tWwcKJMvEyQ9ajK7PEZUkyVZdsorRhc38kWidDfFvNoxTVQqY9Jj31419Cxs2,1754203927,2025-08-03T08:52:07,0.001005,GpMZbSM2GgvTKHJirzeGfMFoaZ8UR2X7F4v8vHTvxFbL,dec,2105297441,95200905680540,95198800383098,Ci4VBQjNUxeJc5AMDwcvaqFhgPDbj6N7YApqGusfbonk,6,1.0
27veVGGRx8j96VRpq7K4a6Te8xFWFsjnSViHQy8awUoKG8xHHPQJ3uKnR2bGF15QKYjzoWkjsMknVgAuVgpykMDk,1754197942,2025-08-03T07:12:22,0.001005,YVLAJcjRV5pL7iG34obr2SrqWNEhMMFC5zCQ33Zc1ps,inc,2960161130,6975229696,9935390826,Ci4VBQjNUxeJc5AMDwcvaqFhgPDbj6N7YApqGusfbonk,6,1.0
27veVGGRx8j96VRpq7K4a6Te8xFWFsjnSViHQy8awUoKG8xHHPQJ3uKnR2bGF15QKYjzoWkjsMknVgAuVgpykMDk,1754197942,2025-08-03T07:12:22,0.001005,GpMZbSM2GgvTKHJirzeGfMFoaZ8UR2X7F4v8vHTvxFbL,dec,2960161129,118360356844539,118357396683409,Ci4VBQjNUxeJc5AMDwcvaqFhgPDbj6N7YApqGusfbonk,6,1.0
8Gx7q5wLfviD6sQmMD9ZoHrrMdJiiaZ7LSZR7jvmS1m4T4Tx7F6G5VxKiPbYAzwatcKVmT7jcvmQXw7M88QJRo3,1754197926,2025-08-03T07:12:06,0.001005,YVLAJcjRV5pL7iG34obr2SrqWNEhMMFC5zCQ33Zc1ps,inc,3555940635,3419289061,6975229696,Ci4VBQjNUxeJc5AMDwcvaqFhgPDbj6N7YApqGusfbonk,6,1.0
8Gx7q5wLfviD6sQmMD9ZoHrrMdJiiaZ7LSZR7jvmS1m4T4Tx7F6G5VxKiPbYAzwatcKVmT7jcvmQXw7M88QJRo3,1754197926,2025-08-03T07:12:06,0.001005,GpMZbSM2GgvTKHJirzeGfMFoaZ8UR2X7F4v8vHTvxFbL,dec,3555940635,120835947428863,120832391488228,Ci4VBQjNUxeJc5AMDwcvaqFhgPDbj6N7YApqGusfbonk,6,1.0
5UMV81qFh4BmeaiUB4LLSiiTRdX6ZHB6tUCsvqP23fmEhLTbPQySxfbzbdf1dq91CAjJjKucL9LsK1pbYdTnhUQp,1754197817,2025-08-03T07:10:17,0.001005,GpMZbSM2GgvTKHJirzeGfMFoaZ8UR2X7F4v8vHTvxFbL,dec,3419289060,126116639034777,126113219745716,Ci4VBQjNUxeJc5AMDwcvaqFhgPDbj6N7YApqGusfbonk,6,1.0
