Txhash,BlockTimeUnix,BlockTime,Fee(SOL),TokenAccount,ChangeType,ChangeAmount,PreBalancer,PostBalancer,TokenAddress,TokenDecimals,TokenMultiplier
1632AgKyRXjsDXcbjzimxBc4dfspAyrnnXC4JS5EVXRNFJ7eLztu3Y1yadppvKo6TGVhpyK2pdyVJauNQBT2nVF,1754150793,2025-08-02T18:06:33,1e-05,4xLmxHNVDrn81otniiGMVW6dvhi66qeKkkJ3Ph9sGf4j,dec,1490200,1490200,0,So11111111111111111111111111111111111111111,9,1.0
4JVjmMLjmAPdnFr99BTfZZQ97LndhJn7YA8rfVcv27M6XbrUy6Cbjk4t7b9vcZHwtoxRy8wXLHRi2fPxiFpJfEDY,1754147142,2025-08-02T17:05:42,9.8e-06,4xLmxHNVDrn81otniiGMVW6dvhi66qeKkkJ3Ph9sGf4j,dec,208025521107,208027011307,1490200,So11111111111111111111111111111111111111111,9,1.0
3Mz8E7mCxdJNMSEgxckjMUxvVQaxQ5XbgvhmJWCiBpELBDbtFUJwk7aH7ayroGid9G2Hxo39AX5xohriG6e2mfDe,1754147127,2025-08-02T17:05:27,1e-05,4xLmxHNVDrn81otniiGMVW6dvhi66qeKkkJ3Ph9sGf4j,inc,1479200,208025532107,208027011307,So11111111111111111111111111111111111111111,9,1.0
3GxuU7GHEHiRhkLZsKdbH4UpxwdLf66oTMoRzpo3ToPYcY93kT2kcdt4fyF2gU1GbGAKDo76bxqSSrYutXfsBm76,1754147107,2025-08-02T17:05:07,5e-06,4xLmxHNVDrn81otniiGMVW6dvhi66qeKkkJ3Ph9sGf4j,inc,2033280,208023498827,208025532107,So11111111111111111111111111111111111111111,9,1.0
3GxuU7GHEHiRhkLZsKdbH4UpxwdLf66oTMoRzpo3ToPYcY93kT2kcdt4fyF2gU1GbGAKDo76bxqSSrYutXfsBm76,1754147107,2025-08-02T17:05:07,5e-06,4xLmxHNVDrn81otniiGMVW6dvhi66qeKkkJ3Ph9sGf4j,dec,778319978707092,778319978707092,0,4Ny3BHFpF5X1a5zjXNdJKiA2bDuDwipVEyeD8fokhTDm,6,1.0
5obEBZDTyepFskLPevq7bwXhm8gh3yiCKWkJEJiMbjNAY5tRLSL7esasDXNi3uiX6MhD78MjGyCzcgLg67KadvCj,1754147100,2025-08-02T17:05:00,1e-05,4xLmxHNVDrn81otniiGMVW6dvhi66qeKkkJ3Ph9sGf4j,inc,4067560,208019431267,208023498827,So11111111111111111111111111111111111111111,9,1.0
5ZdBPxhi4uJM7LsDhFf7H9KPHvMGcR5uDvRUoRPi5zdgWmjEpq9HbCph2eV2AzUBMu4WpEsK45mg4Qd3VuzBGZgS,1754147100,2025-08-02T17:05:00,1e-05,4xLmxHNVDrn81otniiGMVW6dvhi66qeKkkJ3Ph9sGf4j,inc,4067559,208015363707,208019431267,So11111111111111111111111111111111111111111,9,1.0
3Hg7qz5UXujKmBgB7g7JPQA7hVNsE3w2MV3L6ajhsF2MXmrJn3aXnmGb8zTuRPksm4EhqjMskRoQW8u4P4punx9K,1754147099,2025-08-02T17:04:59,1e-05,4xLmxHNVDrn81otniiGMVW6dvhi66qeKkkJ3Ph9sGf4j,inc,4067560,208011296147,208015363707,So11111111111111111111111111111111111111111,9,1.0
fXGiXnCs4C1iQ8BQ1nevZrvRcQrLsd7fGyTCFuRNBWj5D4epSaT2VQ9qMsPzwHczEGgS7o6KP4umABzRTKgYxrr,1754147099,2025-08-02T17:04:59,1e-05,4xLmxHNVDrn81otniiGMVW6dvhi66qeKkkJ3Ph9sGf4j,inc,2028279,208009267867,208011296147,So11111111111111111111111111111111111111111,9,1.0
FpDyAcL7LYP47d1nvzTXbA1jFGnj13zXsJr1b2Y1x9V3ivWsj7xcehuMv1MSonG2qdaL67idy1KunAmvSBa9nZd,1754147098,2025-08-02T17:04:58,1e-05,4xLmxHNVDrn81otniiGMVW6dvhi66qeKkkJ3Ph9sGf4j,inc,2028280,208007239587,208009267867,So11111111111111111111111111111111111111111,9,1.0
