Txhash,BlockTimeUnix,BlockTime,Fee(SOL),TokenAccount,ChangeType,ChangeAmount,PreBalancer,PostBalancer,TokenAddress,TokenDecimals,TokenMultiplier
5i6E1JCJsYWCjjZzabJfcfFAC3GybPBmZZ2p25i7X616LC5mCkVkxCvMoCedAYKZCJSHh1w4Z1wDHoKCA9ULAc1Y,1754194458,2025-08-03T06:14:18,1.3123e-05,4WV73ACBTNA9CSQmoiXABJccYzSuF5Eq6EX7sdpHmoky,dec,15917775044647,15917775044647,0,BTBnLpF1ycCTRj843R7EV1tJEPSegUKCfG8htHFpump,6,1.0
5i6E1JCJsYWCjjZzabJfcfFAC3GybPBmZZ2p25i7X616LC5mCkVkxCvMoCedAYKZCJSHh1w4Z1wDHoKCA9ULAc1Y,1754194458,2025-08-03T06:14:18,1.3123e-05,5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,inc,15917775044647,498081452779705,513999227824352,BTBnLpF1ycCTRj843R7EV1tJEPSegUKCfG8htHFpump,6,1.0
2fANe59p1pRM42fjqEsu5po5JFfQHVGyTLCTPo8wAx7AEbFNgUa6Ss3zR1sugEodnjNtSNS6RFx6356LCrohKHgc,1754194421,2025-08-03T06:13:41,5.839e-06,9GZSewuc7LX6D3RKTxbrmvBECZXFkk7snHhzfcLHQnvo,dec,35812179669621,35812179669621,0,BTBnLpF1ycCTRj843R7EV1tJEPSegUKCfG8htHFpump,6,1.0
2fANe59p1pRM42fjqEsu5po5JFfQHVGyTLCTPo8wAx7AEbFNgUa6Ss3zR1sugEodnjNtSNS6RFx6356LCrohKHgc,1754194421,2025-08-03T06:13:41,5.839e-06,5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,inc,35812179669620,462269273110084,498081452779705,BTBnLpF1ycCTRj843R7EV1tJEPSegUKCfG8htHFpump,6,1.0
5E53nWrP4x7nbxHX65NgMpwSa1M1sHBbdPUJVJNbF7pZoiupGrrj6QryxoHPEsq6VgCa27tckVs246nfcsgEwoJK,1754193874,2025-08-03T06:04:34,0.001005001,5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,dec,2167176819944,464436449930029,462269273110084,BTBnLpF1ycCTRj843R7EV1tJEPSegUKCfG8htHFpump,6,1.0
5E53nWrP4x7nbxHX65NgMpwSa1M1sHBbdPUJVJNbF7pZoiupGrrj6QryxoHPEsq6VgCa27tckVs246nfcsgEwoJK,1754193874,2025-08-03T06:04:34,0.001005001,s3ngPhY5xgVuyocxRXPQJmrJJHfVL5iV2AoGwZrvLrM,inc,2167176819945,0,2167176819945,BTBnLpF1ycCTRj843R7EV1tJEPSegUKCfG8htHFpump,6,1.0
4xy6xcohfFyfYiaDZhZr4oesYsmNe3nrr3ToaYMbsv417DuesT68kcUMDk4ghXdhsPR4DP5j7kUr7TtRipFojto5,1754193701,2025-08-03T06:01:41,5.1001e-05,5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,dec,3817834284130,468254284214159,464436449930029,BTBnLpF1ycCTRj843R7EV1tJEPSegUKCfG8htHFpump,6,1.0
4py6mnAVXjt4KH8ydwkQbwrLmrGcQYamyusSswQrnrFPxchFbCuuLbA1FbfLSc5NDfR2jhC8CEJKaNHddBDHagG2,1754193613,2025-08-03T06:00:13,0.000155,5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,dec,5088851086143,473343135300302,468254284214159,BTBnLpF1ycCTRj843R7EV1tJEPSegUKCfG8htHFpump,6,1.0
3sTgoFndHn2cJ6wZ61K5j7dh7WPki48s6VkaaF9QN2viDRGpPtrvMNtW7L3uUft5HXfgvbcm5hVWgeohN9e9J82J,1754193350,2025-08-03T05:55:50,9.167e-06,5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,dec,35812179669620,509155314969923,473343135300302,BTBnLpF1ycCTRj843R7EV1tJEPSegUKCfG8htHFpump,6,1.0
4LFNwbm5VmQy7zm3ZfZKTwcr6YC8aBpCxMkNrptu1upxKBxCiZ3u95eRxB775C73nT2M8PshfT1JcBDBJMqZdThw,1754193339,2025-08-03T05:55:39,9.14e-05,5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,inc,88029106571,509067285863352,509155314969923,BTBnLpF1ycCTRj843R7EV1tJEPSegUKCfG8htHFpump,6,1.0
