Txhash,BlockTimeUnix,BlockTime,Fee(SOL),TokenAccount,ChangeType,ChangeAmount,PreBalancer,PostBalancer,TokenAddress,TokenDecimals,TokenMultiplier
4cdL4DFFZdtgKiwkbpo2LBHFTMfb4a21wyDKy4svJgEJ58WW98rS4aS46kGXDFM8XwVTUvxRb97JeiqkirTKgvwZ,1754161657,2025-08-02T21:07:37,5.002e-06,AK1TDZ8TUrLRMGyRHWBNSge8zmtXeRmMHZGsZ41QfpST,inc,410675756,629553764,1040229520,So11111111111111111111111111111111111111111,9,1.0
4cdL4DFFZdtgKiwkbpo2LBHFTMfb4a21wyDKy4svJgEJ58WW98rS4aS46kGXDFM8XwVTUvxRb97JeiqkirTKgvwZ,1754161657,2025-08-02T21:07:37,5.002e-06,AK1TDZ8TUrLRMGyRHWBNSge8zmtXeRmMHZGsZ41QfpST,dec,2715521880916,2732330953361,16809072445,6FHLTwY2EuUQqdV3AjYb1T7HvVKbGzpex8JnTBvL9466,6,1.0
4Dk1uCuwGgiah1F7EuFycGuKj3uo6vzqEMruH91eLqbVxetnTz9FRQTPqWNdBjmBsMRQqr6mv34hpoadDNzFEPrC,1754161608,2025-08-02T21:06:48,5.003e-06,AK1TDZ8TUrLRMGyRHWBNSge8zmtXeRmMHZGsZ41QfpST,dec,403612489,1033172253,629559764,So11111111111111111111111111111111111111111,9,1.0
4Dk1uCuwGgiah1F7EuFycGuKj3uo6vzqEMruH91eLqbVxetnTz9FRQTPqWNdBjmBsMRQqr6mv34hpoadDNzFEPrC,1754161608,2025-08-02T21:06:48,5.003e-06,AK1TDZ8TUrLRMGyRHWBNSge8zmtXeRmMHZGsZ41QfpST,inc,2732330950524,2837,2732330953361,6FHLTwY2EuUQqdV3AjYb1T7HvVKbGzpex8JnTBvL9466,6,1.0
3PYingqcWPLYQwMKuA4pKjL7nso4KyDT9abJk3Gobp5mVbpCBZo684C3yZ1XrGHLB5GaccPd3t5vr7RdZWyzoRtR,1754161597,2025-08-02T21:06:37,5.002e-06,AK1TDZ8TUrLRMGyRHWBNSge8zmtXeRmMHZGsZ41QfpST,inc,1003864150,29314103,1033178253,So11111111111111111111111111111111111111111,9,1.0
3PYingqcWPLYQwMKuA4pKjL7nso4KyDT9abJk3Gobp5mVbpCBZo684C3yZ1XrGHLB5GaccPd3t5vr7RdZWyzoRtR,1754161597,2025-08-02T21:06:37,5.002e-06,AK1TDZ8TUrLRMGyRHWBNSge8zmtXeRmMHZGsZ41QfpST,dec,7055189492098,7055189494935,2837,6FHLTwY2EuUQqdV3AjYb1T7HvVKbGzpex8JnTBvL9466,6,1.0
4Ke5JP3rQcaVtEvCU3vDKu9EmWgr72jk9UeQiL2egjPJL9t2eBLtatfXmF2pFi73q8r7g7VPMM1gQoDg6A524ATJ,1754161461,2025-08-02T21:04:21,5.003e-06,AK1TDZ8TUrLRMGyRHWBNSge8zmtXeRmMHZGsZ41QfpST,dec,227845329,257165432,29320103,So11111111111111111111111111111111111111111,9,1.0
4Ke5JP3rQcaVtEvCU3vDKu9EmWgr72jk9UeQiL2egjPJL9t2eBLtatfXmF2pFi73q8r7g7VPMM1gQoDg6A524ATJ,1754161461,2025-08-02T21:04:21,5.003e-06,AK1TDZ8TUrLRMGyRHWBNSge8zmtXeRmMHZGsZ41QfpST,inc,1614333976157,5440855518778,7055189494935,6FHLTwY2EuUQqdV3AjYb1T7HvVKbGzpex8JnTBvL9466,6,1.0
WPBi5hv32QaB3E7dtV9LA2y32WpPcp1WGyBp2eFBWgJGFJxqUKH2yCt5Hr1xfePGwofs7qSe7sPbKUNpK1igzBJ,1754161416,2025-08-02T21:03:36,5.003e-06,AK1TDZ8TUrLRMGyRHWBNSge8zmtXeRmMHZGsZ41QfpST,dec,232015486,489186918,257171431,So11111111111111111111111111111111111111111,9,1.0
WPBi5hv32QaB3E7dtV9LA2y32WpPcp1WGyBp2eFBWgJGFJxqUKH2yCt5Hr1xfePGwofs7qSe7sPbKUNpK1igzBJ,1754161416,2025-08-02T21:03:36,5.003e-06,AK1TDZ8TUrLRMGyRHWBNSge8zmtXeRmMHZGsZ41QfpST,inc,1686996811766,3753858707012,5440855518778,6FHLTwY2EuUQqdV3AjYb1T7HvVKbGzpex8JnTBvL9466,6,1.0
3NXN2WEr3Qm1NLwSXRDArZs8vRB1pknP29MnGcpmoyLjwyW4PfegGkQkQbcUscoZL1HD6zehU4d5ZBywDfmqFrz7,1754161374,2025-08-02T21:02:54,5.002e-06,AK1TDZ8TUrLRMGyRHWBNSge8zmtXeRmMHZGsZ41QfpST,inc,400756786,88436132,489192918,So11111111111111111111111111111111111111111,9,1.0
3NXN2WEr3Qm1NLwSXRDArZs8vRB1pknP29MnGcpmoyLjwyW4PfegGkQkQbcUscoZL1HD6zehU4d5ZBywDfmqFrz7,1754161374,2025-08-02T21:02:54,5.002e-06,AK1TDZ8TUrLRMGyRHWBNSge8zmtXeRmMHZGsZ41QfpST,dec,2955562499494,6709421206506,3753858707012,6FHLTwY2EuUQqdV3AjYb1T7HvVKbGzpex8JnTBvL9466,6,1.0
5ZdQDhxCzAvD4EMd6ARVCdddLy1C4CdZXrgbV1doBiYrGL8a55SY9vXhsuNmTgo3c1SzV3TYf3xMpEgC59dFta1B,1754161373,2025-08-02T21:02:53,5.003e-06,AK1TDZ8TUrLRMGyRHWBNSge8zmtXeRmMHZGsZ41QfpST,dec,505549998,593992130,88442132,So11111111111111111111111111111111111111111,9,1.0
5ZdQDhxCzAvD4EMd6ARVCdddLy1C4CdZXrgbV1doBiYrGL8a55SY9vXhsuNmTgo3c1SzV3TYf3xMpEgC59dFta1B,1754161373,2025-08-02T21:02:53,5.003e-06,AK1TDZ8TUrLRMGyRHWBNSge8zmtXeRmMHZGsZ41QfpST,inc,3727383591097,2982037615409,6709421206506,6FHLTwY2EuUQqdV3AjYb1T7HvVKbGzpex8JnTBvL9466,6,1.0
2uWEaJi16TwGS2vc9ucQYySbFYxALU1Z9woz1ZwfXCzk1gftxuHzqziRqZpYGUpD38bSFSKwCVcNV2xfGmELtcFd,1754161344,2025-08-02T21:02:24,5.003e-06,AK1TDZ8TUrLRMGyRHWBNSge8zmtXeRmMHZGsZ41QfpST,dec,386986060,980984190,593998130,So11111111111111111111111111111111111111111,9,1.0
2uWEaJi16TwGS2vc9ucQYySbFYxALU1Z9woz1ZwfXCzk1gftxuHzqziRqZpYGUpD38bSFSKwCVcNV2xfGmELtcFd,1754161344,2025-08-02T21:02:24,5.003e-06,AK1TDZ8TUrLRMGyRHWBNSge8zmtXeRmMHZGsZ41QfpST,inc,2982037610236,5173,2982037615409,6FHLTwY2EuUQqdV3AjYb1T7HvVKbGzpex8JnTBvL9466,6,1.0
ozZGcC7yMKXG5ZuZgJWM3g3QHZTJBZHzUyhkERbJkCbXcMuC9bgq9eSEf4R5NonbZGH666rj6q6AP59UMnPLJHG,1754161330,2025-08-02T21:02:10,5.002e-06,AK1TDZ8TUrLRMGyRHWBNSge8zmtXeRmMHZGsZ41QfpST,inc,266984550,714005640,980990190,So11111111111111111111111111111111111111111,9,1.0
ozZGcC7yMKXG5ZuZgJWM3g3QHZTJBZHzUyhkERbJkCbXcMuC9bgq9eSEf4R5NonbZGH666rj6q6AP59UMnPLJHG,1754161330,2025-08-02T21:02:10,5.002e-06,AK1TDZ8TUrLRMGyRHWBNSge8zmtXeRmMHZGsZ41QfpST,dec,2069175489314,2069175494487,5173,6FHLTwY2EuUQqdV3AjYb1T7HvVKbGzpex8JnTBvL9466,6,1.0
4csU9ePFF9MpA7EvGzU542kJYmBkQr7shHogrWiqZ5go6t9Z4e2Vg7zX83Z33xMFKxqvyZE9JM6spsDwx6EmSkwq,1754161316,2025-08-02T21:01:56,5.003e-06,AK1TDZ8TUrLRMGyRHWBNSge8zmtXeRmMHZGsZ41QfpST,dec,277563164,991574804,714011640,So11111111111111111111111111111111111111111,9,1.0
4csU9ePFF9MpA7EvGzU542kJYmBkQr7shHogrWiqZ5go6t9Z4e2Vg7zX83Z33xMFKxqvyZE9JM6spsDwx6EmSkwq,1754161316,2025-08-02T21:01:56,5.003e-06,AK1TDZ8TUrLRMGyRHWBNSge8zmtXeRmMHZGsZ41QfpST,inc,2069175494419,68,2069175494487,6FHLTwY2EuUQqdV3AjYb1T7HvVKbGzpex8JnTBvL9466,6,1.0
36eSyrxTkTg7ck951RUBzAsQVxvDkcNBb38XZT18DinAq9HU7fqbxswm1N3jKtBdAS4HTvUeAYKLiacHxu2ifVoD,1754161246,2025-08-02T21:00:46,5.002e-06,AK1TDZ8TUrLRMGyRHWBNSge8zmtXeRmMHZGsZ41QfpST,dec,509494,509561,68,6FHLTwY2EuUQqdV3AjYb1T7HvVKbGzpex8JnTBvL9466,6,1.0
63VaeQ4qmjU4mTh1jB6tk4KZHyjedeo6tbFFHMPx8MitbtxyxDFD21njw2DEc7zNmVEY3dhQjMjpRcoqGQXNkMm,1754161226,2025-08-02T21:00:26,5.002e-06,AK1TDZ8TUrLRMGyRHWBNSge8zmtXeRmMHZGsZ41QfpST,dec,80447521,80957084,509561,6FHLTwY2EuUQqdV3AjYb1T7HvVKbGzpex8JnTBvL9466,6,1.0
34B2KrF7Axg6fEcz41AkBPYo6LtmuVKJvGCLk33juxrfi99VyavGWCuV8RkU8tdKYMvcVNsAy3KPet8k3hDyGSUN,1754161224,2025-08-02T21:00:24,5.002e-06,AK1TDZ8TUrLRMGyRHWBNSge8zmtXeRmMHZGsZ41QfpST,inc,2849447,988742023,991591471,So11111111111111111111111111111111111111111,9,1.0
