Txhash,                        BlockTimeUnix,                        BlockTime,                        Fee(SOL),                        TokenAccount,                        ChangeType,                        ChangeAmount,                        PreBalancer,                        PostBalancer,                        TokenAddress,                        TokenDecimals,                        TokenMultiplier
5dD1VLF9KMV31M5UtRKgK7GDwQJSHZT3fUBKLnhGJro1aQeRvbyDsd2xYdCfTnXtUXjmPFpn7p2dW98JYLUyxcNe,1754164944,2025-08-02T20:02:24,0.0000314,gSUqvUJfTLBPk6d8cXPXoduD5qDa1YbS74nNt69d21W,inc,1000000000,1500000,1001500000,So11111111111111111111111111111111111111111,9,1.0
6Cakm5Nvuk1qWsDp5ihi6BDcUjZZ8aUsgKjeuimm2hXiHwDokdrYmGddnEsv3fXyV6Asmt2jsEhPY7dhy113ykM,1754164815,2025-08-02T20:00:15,0.0000666,gSUqvUJfTLBPk6d8cXPXoduD5qDa1YbS74nNt69d21W,dec,898876711,900376711,1500000,So11111111111111111111111111111111111111111,9,1.0
4yJxy5r7VjU8cmQCwXU6UAYZfDJoxnLZonmhhVAYsBgLGXA82wuiLVhrddrqVbaftWRym4TiU7e6sPdnyqTominL,1754164789,2025-08-02T19:59:49,0.000005,gSUqvUJfTLBPk6d8cXPXoduD5qDa1YbS74nNt69d21W,dec,6000,900382711,900376711,So11111111111111111111111111111111111111111,9,1.0
3j89UrAaiwMjEyeosWN2T9v93fub99QrcYVYc6PcebWZNX3UaRZ9PDcjJMzGsPP9FXYshohdKBdFSPpNzGzhhsh,1754164789,2025-08-02T19:59:49,0.000005003,4RJMoo1rxU77dJ4SYkkoqiTEx1fsguaF3kxFYok7QL11,inc,1547716103618,4469,1547716108087,Cf4mb37yP2ZsJ782Lv8CwRqfNi9S5sXPKQLeHFApF62M,6,1.0
3j89UrAaiwMjEyeosWN2T9v93fub99QrcYVYc6PcebWZNX3UaRZ9PDcjJMzGsPP9FXYshohdKBdFSPpNzGzhhsh,1754164789,2025-08-02T19:59:49,0.000005003,gSUqvUJfTLBPk6d8cXPXoduD5qDa1YbS74nNt69d21W,dec,246263503,1146646214,900382711,So11111111111111111111111111111111111111111,9,1.0
3xsWJFu8s27hs49o4Nz5orS9Pk7hbs9zdXLK8TKarUC3PND2keNP87stK5tGfv4pg2b1KXuwCqF8MU9LnkDuPFf9,1754164761,2025-08-02T19:59:21,0.000005,gSUqvUJfTLBPk6d8cXPXoduD5qDa1YbS74nNt69d21W,dec,6000,1146652214,1146646214,So11111111111111111111111111111111111111111,9,1.0
2tYWV4bEukfgyvYbozWNCbKkr4gJkS7yu2xz3oS3PtUHa2g3b8HwuQSbxiurWHhYCwDaq36k8oJZd4AFqyvVKTpC,1754164761,2025-08-02T19:59:21,0.000005002,4RJMoo1rxU77dJ4SYkkoqiTEx1fsguaF3kxFYok7QL11,dec,5886057252864,5886057257333,4469,Cf4mb37yP2ZsJ782Lv8CwRqfNi9S5sXPKQLeHFApF62M,6,1.0
2tYWV4bEukfgyvYbozWNCbKkr4gJkS7yu2xz3oS3PtUHa2g3b8HwuQSbxiurWHhYCwDaq36k8oJZd4AFqyvVKTpC,1754164761,2025-08-02T19:59:21,0.000005002,gSUqvUJfTLBPk6d8cXPXoduD5qDa1YbS74nNt69d21W,inc,936456021,210196193,1146652214,So11111111111111111111111111111111111111111,9,1.0
3keJ97XHamDoDk45Fa3rN5ht2CqPR3RcRMvUbPoDLPcXQChrmPv7BX1hbTSdrCmixnKEjNx6YpGWU16J8MK9zUzb,1754164535,2025-08-02T19:55:35,0.000005,gSUqvUJfTLBPk6d8cXPXoduD5qDa1YbS74nNt69d21W,dec,6000,210202193,210196193,So11111111111111111111111111111111111111111,9,1.0
2UHhMjTJm7ZVfo1s7gMmmfbWdCf22iz8pGkd6k3nt1RZVJw2mBxuFBuasq1AxXDKC7y2mrkHC2ZcwJ9TTsX9jDcW,1754164535,2025-08-02T19:55:35,0.000005003,4RJMoo1rxU77dJ4SYkkoqiTEx1fsguaF3kxFYok7QL11,inc,2075584419427,3810472837906,5886057257333,Cf4mb37yP2ZsJ782Lv8CwRqfNi9S5sXPKQLeHFApF62M,6,1.0
2UHhMjTJm7ZVfo1s7gMmmfbWdCf22iz8pGkd6k3nt1RZVJw2mBxuFBuasq1AxXDKC7y2mrkHC2ZcwJ9TTsX9jDcW,1754164535,2025-08-02T19:55:35,0.000005003,gSUqvUJfTLBPk6d8cXPXoduD5qDa1YbS74nNt69d21W,dec,298078343,508280536,210202193,So11111111111111111111111111111111111111111,9,1.0
3Y7GRDDZ6BgCcvBr1JRLKy6UpLENpRwDUZxfi3TAAVDUZAnd9AMsDdPaut4sDdLaHjs95i7ZReZfrpodhdG8JWxE,1754164512,2025-08-02T19:55:12,0.000005,gSUqvUJfTLBPk6d8cXPXoduD5qDa1YbS74nNt69d21W,dec,6000,508286536,508280536,So11111111111111111111111111111111111111111,9,1.0
5YojbX7u97jp3qiqCDH35iUEUPW1v7eZvEkV37nF1bwLT4x9mNz7nomGKG4ZUafbzKni7PkAyh89542Kt18LargQ,1754164512,2025-08-02T19:55:12,0.000005003,4RJMoo1rxU77dJ4SYkkoqiTEx1fsguaF3kxFYok7QL11,inc,796045571177,3014427266729,3810472837906,Cf4mb37yP2ZsJ782Lv8CwRqfNi9S5sXPKQLeHFApF62M,6,1.0
5YojbX7u97jp3qiqCDH35iUEUPW1v7eZvEkV37nF1bwLT4x9mNz7nomGKG4ZUafbzKni7PkAyh89542Kt18LargQ,1754164512,2025-08-02T19:55:12,0.000005003,gSUqvUJfTLBPk6d8cXPXoduD5qDa1YbS74nNt69d21W,dec,118895265,627181801,508286536,So11111111111111111111111111111111111111111,9,1.0
3vcM9tk3N1niiHP4snDvA6HFGhwbs1WL4dumEfDekQzomEnC8VLf8mCn2NmxSn1CaH4anHEAAsL3oXavcWGEEfWf,1754164475,2025-08-02T19:54:35,0.000005,gSUqvUJfTLBPk6d8cXPXoduD5qDa1YbS74nNt69d21W,dec,6000,627187801,627181801,So11111111111111111111111111111111111111111,9,1.0
acw5N8n726jxw94ANMJQ4MuqnhuYFAJfXybYgw1i88DawdmJCv4BZtLAwiLBrsExMgn61V5bH5oqJCNnwD2Zw9H,1754164475,2025-08-02T19:54:35,0.000005003,4RJMoo1rxU77dJ4SYkkoqiTEx1fsguaF3kxFYok7QL11,inc,3014052591632,374675097,3014427266729,Cf4mb37yP2ZsJ782Lv8CwRqfNi9S5sXPKQLeHFApF62M,6,1.0
acw5N8n726jxw94ANMJQ4MuqnhuYFAJfXybYgw1i88DawdmJCv4BZtLAwiLBrsExMgn61V5bH5oqJCNnwD2Zw9H,1754164475,2025-08-02T19:54:35,0.000005003,gSUqvUJfTLBPk6d8cXPXoduD5qDa1YbS74nNt69d21W,dec,430324838,1057512639,627187801,So11111111111111111111111111111111111111111,9,1.0
2abwgfyfm1s53BPEA3JPjbJyi9Y3697zN8nUsoyJNFg8s7dp4e85PUXq4psLF6Cduk9EDu9KJ5ZtdazXZ6L3LYeQ,1754164443,2025-08-02T19:54:03,0.000005,gSUqvUJfTLBPk6d8cXPXoduD5qDa1YbS74nNt69d21W,dec,6000,1057518639,1057512639,So11111111111111111111111111111111111111111,9,1.0
4g76W3P4S4ShrnZRtEZRKmvJog4hpvECD3mEbjwjgbNu8BBZAAQPDtmXLcZNDZCqo9LkHYa6ZS68AkkkvauDoL68,1754164443,2025-08-02T19:54:03,0.000005002,4RJMoo1rxU77dJ4SYkkoqiTEx1fsguaF3kxFYok7QL11,dec,84179093938,84553769035,374675097,Cf4mb37yP2ZsJ782Lv8CwRqfNi9S5sXPKQLeHFApF62M,6,1.0
4g76W3P4S4ShrnZRtEZRKmvJog4hpvECD3mEbjwjgbNu8BBZAAQPDtmXLcZNDZCqo9LkHYa6ZS68AkkkvauDoL68,1754164443,2025-08-02T19:54:03,0.000005002,gSUqvUJfTLBPk6d8cXPXoduD5qDa1YbS74nNt69d21W,inc,12088221,1045430418,1057518639,So11111111111111111111111111111111111111111,9,1.0
TNLbkcpVMqMLa5FDhq6UVv66EzPQdBSSXDat1GjxF23ud9mfAp6JdjduZeDhSUYbtAL8MjT3QCkH4jqkRTtdMag,1754164347,2025-08-02T19:52:27,0.000005,gSUqvUJfTLBPk6d8cXPXoduD5qDa1YbS74nNt69d21W,dec,6000,1045436418,1045430418,So11111111111111111111111111111111111111111,9,1.0
5Y9e7ecDAKYDhFixsnTtbRG8tD6rrbn1JbS15TW4S9SRM1zbTt2Yeh4HeAwcrYosPTwCHhL1b893ggm8E6TK8zHn,1754164347,2025-08-02T19:52:27,0.000005002,4RJMoo1rxU77dJ4SYkkoqiTEx1fsguaF3kxFYok7QL11,dec,6058646107021,6143199876056,84553769035,Cf4mb37yP2ZsJ782Lv8CwRqfNi9S5sXPKQLeHFApF62M,6,1.0
5Y9e7ecDAKYDhFixsnTtbRG8tD6rrbn1JbS15TW4S9SRM1zbTt2Yeh4HeAwcrYosPTwCHhL1b893ggm8E6TK8zHn,1754164347,2025-08-02T19:52:27,0.000005002,gSUqvUJfTLBPk6d8cXPXoduD5qDa1YbS74nNt69d21W,inc,922457364,122979054,1045436418,So11111111111111111111111111111111111111111,9,1.0
F4hesAyvQxHtJ7A7VZwbzaV6jsZANWCWsRsG3CcocmJCGvoERGkxFEvZnF5dxrrdJVvL414tCGxiZoQo3aP7LzA,1754164255,2025-08-02T19:50:55,0.000005,gSUqvUJfTLBPk6d8cXPXoduD5qDa1YbS74nNt69d21W,dec,6000,122985054,122979054,So11111111111111111111111111111111111111111,9,1.0
31uvgDvRhFqzE9S6pnUxQYC5nr9vnaqi5xdt2MrKXMJLd9jKpKn6pg4ENNbQ1cvrUHCD86gLNQchV4mcdjTWtvzV,1754164255,2025-08-02T19:50:55,0.000005003,4RJMoo1rxU77dJ4SYkkoqiTEx1fsguaF3kxFYok7QL11,inc,1718917715644,4424282160412,6143199876056,Cf4mb37yP2ZsJ782Lv8CwRqfNi9S5sXPKQLeHFApF62M,6,1.0
31uvgDvRhFqzE9S6pnUxQYC5nr9vnaqi5xdt2MrKXMJLd9jKpKn6pg4ENNbQ1cvrUHCD86gLNQchV4mcdjTWtvzV,1754164255,2025-08-02T19:50:55,0.000005003,gSUqvUJfTLBPk6d8cXPXoduD5qDa1YbS74nNt69d21W,dec,246299714,369284768,122985054,So11111111111111111111111111111111111111111,9,1.0
35Dq55mdngySLbxXJxE1VKTnKLgDGWRLdqR3TZ49wXsw9D5GKPnAqVE7UbSYB45k3FnkVhXotG7HcLKs1XBdRMoB,1754164105,2025-08-02T19:48:25,0.000005,gSUqvUJfTLBPk6d8cXPXoduD5qDa1YbS74nNt69d21W,dec,6000,369290768,369284768,So11111111111111111111111111111111111111111,9,1.0
2ErAJaDNvYeFQ2vzmaG5t4A4F6hFda9d2wW8AYBYQzkosMvZNtoXMuKWwCvtfSPyt5wtLrYoc7RLa7dzbZQdU58G,1754164105,2025-08-02T19:48:25,0.000005003,4RJMoo1rxU77dJ4SYkkoqiTEx1fsguaF3kxFYok7QL11,inc,2026470124057,2397812036355,4424282160412,Cf4mb37yP2ZsJ782Lv8CwRqfNi9S5sXPKQLeHFApF62M,6,1.0
2ErAJaDNvYeFQ2vzmaG5t4A4F6hFda9d2wW8AYBYQzkosMvZNtoXMuKWwCvtfSPyt5wtLrYoc7RLa7dzbZQdU58G,1754164105,2025-08-02T19:48:25,0.000005003,gSUqvUJfTLBPk6d8cXPXoduD5qDa1YbS74nNt69d21W,dec,295185875,664476643,369290768,So11111111111111111111111111111111111111111,9,1.0
5oYu2e19kBTHuDH3drWQpCvHdMW1Ah1hoZBq7xdk36b1SSiyXTuyc17R3R6dcBSA14zYSoo7rHGrcGah79AGtVek,1754164096,2025-08-02T19:48:16,0.000005,gSUqvUJfTLBPk6d8cXPXoduD5qDa1YbS74nNt69d21W,dec,6000,664482643,664476643,So11111111111111111111111111111111111111111,9,1.0
5KerzCJ9rBCEEuxMtGZNKR9s9uGr1SD3tqoj9swddJvdJC3nWNaEcPpxFcHPuv9B9HFRZEgspUSqSyHfUDisd3NV,1754164096,2025-08-02T19:48:16,0.000005003,4RJMoo1rxU77dJ4SYkkoqiTEx1fsguaF3kxFYok7QL11,inc,2397722638941,89397414,2397812036355,Cf4mb37yP2ZsJ782Lv8CwRqfNi9S5sXPKQLeHFApF62M,6,1.0
5KerzCJ9rBCEEuxMtGZNKR9s9uGr1SD3tqoj9swddJvdJC3nWNaEcPpxFcHPuv9B9HFRZEgspUSqSyHfUDisd3NV,1754164096,2025-08-02T19:48:16,0.000005003,gSUqvUJfTLBPk6d8cXPXoduD5qDa1YbS74nNt69d21W,dec,338030943,1002513586,664482643,So11111111111111111111111111111111111111111,9,1.0
2aguVqCrzxkx6zjKPSgVzi1jbjtC6hphTVH2uX28ZYZ8MABA7L3CTnrQWp2AEKArwMmUM1jNfe6pahyj7LypRF3g,1754164089,2025-08-02T19:48:09,0.000005,gSUqvUJfTLBPk6d8cXPXoduD5qDa1YbS74nNt69d21W,dec,6000,1002519586,1002513586,So11111111111111111111111111111111111111111,9,1.0
36XtXhbbYgsKmwUMt3qy8rj1ECFXKtjS6qYgbMcghP75iik3rqDu1y2bbGrrjpWutpZ9kke3fzn8iWQ7uvyAP1SP,1754164089,2025-08-02T19:48:09,0.000005002,4RJMoo1rxU77dJ4SYkkoqiTEx1fsguaF3kxFYok7QL11,dec,19007578450,19096975864,89397414,Cf4mb37yP2ZsJ782Lv8CwRqfNi9S5sXPKQLeHFApF62M,6,1.0
36XtXhbbYgsKmwUMt3qy8rj1ECFXKtjS6qYgbMcghP75iik3rqDu1y2bbGrrjpWutpZ9kke3fzn8iWQ7uvyAP1SP,1754164089,2025-08-02T19:48:09,0.000005002,gSUqvUJfTLBPk6d8cXPXoduD5qDa1YbS74nNt69d21W,inc,2667879,999851707,1002519586,So11111111111111111111111111111111111111111,9,1.0
4zmSRzMKNe5i16Sj89NhZoZUesZLWPP1nPs8P4vHyrRybr4tB5yp9f4DUAuuBH9uxM1jFwiLMy7aLxkjuKnHTFiL,1754164071,2025-08-02T19:47:51,0.000005,gSUqvUJfTLBPk6d8cXPXoduD5qDa1YbS74nNt69d21W,dec,6000,999857707,999851707,So11111111111111111111111111111111111111111,9,1.0
7WoLj6U795BpzB68Rp8fFwHFkzRHpYarAyhA3VaPA8SRbUFcqZPnpfsFYEpPMuqjPeiJnfd21sXqWfTAZWuoFqS,1754164071,2025-08-02T19:47:51,0.000005002,4RJMoo1rxU77dJ4SYkkoqiTEx1fsguaF3kxFYok7QL11,dec,3388648670238,3407745646102,19096975864,Cf4mb37yP2ZsJ782Lv8CwRqfNi9S5sXPKQLeHFApF62M,6,1.0
7WoLj6U795BpzB68Rp8fFwHFkzRHpYarAyhA3VaPA8SRbUFcqZPnpfsFYEpPMuqjPeiJnfd21sXqWfTAZWuoFqS,1754164071,2025-08-02T19:47:51,0.000005002,gSUqvUJfTLBPk6d8cXPXoduD5qDa1YbS74nNt69d21W,inc,494476184,505381523,999857707,So11111111111111111111111111111111111111111,9,1.0
2KV2gg2DtZzqqMpgT7jAfDqVAQQaFJjD2AznXY9WwonXXroFWBbgifqpeaHCckCU6QgjLSuwHvnyWFCxG3CJA4Kr,1754164038,2025-08-02T19:47:18,0.000005,gSUqvUJfTLBPk6d8cXPXoduD5qDa1YbS74nNt69d21W,dec,6000,505387523,505381523,So11111111111111111111111111111111111111111,9,1.0
3UsecAJoNxGWFZJBbfnCmgvJ4UJGatCyQ2bBEM1rHooWdMRQGcV2Kx44mP2tB6DKv7XibcUCDfRWSiFScsCzabMb,1754164038,2025-08-02T19:47:18,0.000005003,4RJMoo1rxU77dJ4SYkkoqiTEx1fsguaF3kxFYok7QL11,inc,3407745637090,9012,3407745646102,Cf4mb37yP2ZsJ782Lv8CwRqfNi9S5sXPKQLeHFApF62M,6,1.0
3UsecAJoNxGWFZJBbfnCmgvJ4UJGatCyQ2bBEM1rHooWdMRQGcV2Kx44mP2tB6DKv7XibcUCDfRWSiFScsCzabMb,1754164038,2025-08-02T19:47:18,0.000005003,gSUqvUJfTLBPk6d8cXPXoduD5qDa1YbS74nNt69d21W,dec,471813910,977201433,505387523,So11111111111111111111111111111111111111111,9,1.0
4vQG1wRAbhiDoFtcH21yX9DN4SBpVh7vKGGctqeXrgkhvzP3vQtFEp9ev3qohseqwsaWBH3tAYCGFWccGEBKyx2u,1754163872,2025-08-02T19:44:32,0.000005,gSUqvUJfTLBPk6d8cXPXoduD5qDa1YbS74nNt69d21W,dec,6000,977207433,977201433,So11111111111111111111111111111111111111111,9,1.0
36MH2RppiKqRVuzNm2ehA4r7Q56syMx1W9ZhR8qWhaRcnEdFSX1YzsmnH4J3ihbMvFo1Z66QYiHee4cB21vXbLLz,1754163872,2025-08-02T19:44:32,0.000005002,4RJMoo1rxU77dJ4SYkkoqiTEx1fsguaF3kxFYok7QL11,dec,841756,850768,9012,Cf4mb37yP2ZsJ782Lv8CwRqfNi9S5sXPKQLeHFApF62M,6,1.0
36MH2RppiKqRVuzNm2ehA4r7Q56syMx1W9ZhR8qWhaRcnEdFSX1YzsmnH4J3ihbMvFo1Z66QYiHee4cB21vXbLLz,1754163872,2025-08-02T19:44:32,0.000005002,gSUqvUJfTLBPk6d8cXPXoduD5qDa1YbS74nNt69d21W,dec,4874,977212307,977207433,So11111111111111111111111111111111111111111,9,1.0
4uu81VgNW7g1Qdy157jPUGMTw5jKAauj5jSxURSzy9UzsDkPUvba2EkFPR78J2AFXCZmXrJGMHZ6muxPsT6e7Zau,1754163844,2025-08-02T19:44:04,0.000005,gSUqvUJfTLBPk6d8cXPXoduD5qDa1YbS74nNt69d21W,dec,6000,977218307,977212307,So11111111111111111111111111111111111111111,9,1.0
