Txhash,                        BlockTimeUnix,                        BlockTime,                        Fee(SOL),                        TokenAccount,                        ChangeType,                        ChangeAmount,                        PreBalancer,                        PostBalancer,                        TokenAddress,                        TokenDecimals,                        TokenMultiplier
3mF5m4u91Dd71EHst8kUWJRgfQNLZ7FaAqo2S2qxVMqnqYQKTyrtaQCWacP67TkVQZwpbfRdZC9ZrZLP7MpKw3Sn,1755110773,2025-08-13T18:46:13,0.000026,3S3wPvBnGegy9Zj9LDMaRPn2d2pxakE9YdKPm8UM3WLP,dec,20075745,20075745,0,So11111111111111111111111111111111111111111,9,1.0
4XYCaokeJdvu4YwY2gTpRKmxwQg3xP5cn5PN8nZK7LX5By7yyPjBFN7W2HiBTE5Qnsd57j6VNkxphjP1H7C1TCqm,1755110336,2025-08-13T18:38:56,0.00005,9WJWEARVcZkZaLQRMM3J4MKkY5VwYfKbPuiTL14WndPr,dec,5904445025999,5904445025999,0,AsyLNEVAidgcbXVDP2KDyuEFUkFo38Usv933d7qMpump,6,1.0
3mBJeC7Rnf761evQhd3Pg6SVPBa3ALcLP3xGHjNMpmQXDuuYCoGVvHzU1YnUNJm5SXe2Err9dRExc78wbtFBQfm3,1755110065,2025-08-13T18:34:25,0.000015,9WJWEARVcZkZaLQRMM3J4MKkY5VwYfKbPuiTL14WndPr,inc,377881846212,5526563179787,5904445025999,AsyLNEVAidgcbXVDP2KDyuEFUkFo38Usv933d7qMpump,6,1.0
3mBJeC7Rnf761evQhd3Pg6SVPBa3ALcLP3xGHjNMpmQXDuuYCoGVvHzU1YnUNJm5SXe2Err9dRExc78wbtFBQfm3,1755110065,2025-08-13T18:34:25,0.000015,3S3wPvBnGegy9Zj9LDMaRPn2d2pxakE9YdKPm8UM3WLP,dec,110307000,130382745,20075745,So11111111111111111111111111111111111111111,9,1.0
4jb6QsHcesAnKc5nSkHWU3nBoo4c1NPraaXLEXPS7jn9Eof3qTE5SZQPX6pL4Lxkq4ysZKyt4qxSFMV3Wo1jfKgW,1755109546,2025-08-13T18:25:46,0.000055,9WJWEARVcZkZaLQRMM3J4MKkY5VwYfKbPuiTL14WndPr,inc,1426246695059,4100316484728,5526563179787,AsyLNEVAidgcbXVDP2KDyuEFUkFo38Usv933d7qMpump,6,1.0
4jb6QsHcesAnKc5nSkHWU3nBoo4c1NPraaXLEXPS7jn9Eof3qTE5SZQPX6pL4Lxkq4ysZKyt4qxSFMV3Wo1jfKgW,1755109546,2025-08-13T18:25:46,0.000055,3S3wPvBnGegy9Zj9LDMaRPn2d2pxakE9YdKPm8UM3WLP,dec,291541000,421923745,130382745,So11111111111111111111111111111111111111111,9,1.0
5kuyNReVXeEvi5CLoapLWmcro7iHqPRJXXQYfyMQgJFpQfAKpxzBzcjYC1CP5VwGQYm5U1fVBDyHJWrHbnw2iiX4,1755109053,2025-08-13T18:17:33,0.000015,9WJWEARVcZkZaLQRMM3J4MKkY5VwYfKbPuiTL14WndPr,inc,1444791564993,2655524919735,4100316484728,AsyLNEVAidgcbXVDP2KDyuEFUkFo38Usv933d7qMpump,6,1.0
5kuyNReVXeEvi5CLoapLWmcro7iHqPRJXXQYfyMQgJFpQfAKpxzBzcjYC1CP5VwGQYm5U1fVBDyHJWrHbnw2iiX4,1755109053,2025-08-13T18:17:33,0.000015,3S3wPvBnGegy9Zj9LDMaRPn2d2pxakE9YdKPm8UM3WLP,dec,211610000,633533745,421923745,So11111111111111111111111111111111111111111,9,1.0
66HFFB7vKmd1p3LZqCW1E3t9AScZM2mo1ENGwU1oaw25KXu7XGiMKtpZPvxMe3PynKhM9xMgDGhoq8qqzvZbA2aY,1755109025,2025-08-13T18:17:05,0.000015,9WJWEARVcZkZaLQRMM3J4MKkY5VwYfKbPuiTL14WndPr,inc,2655524919735,0,2655524919735,AsyLNEVAidgcbXVDP2KDyuEFUkFo38Usv933d7qMpump,6,1.0
66HFFB7vKmd1p3LZqCW1E3t9AScZM2mo1ENGwU1oaw25KXu7XGiMKtpZPvxMe3PynKhM9xMgDGhoq8qqzvZbA2aY,1755109025,2025-08-13T18:17:05,0.000015,3S3wPvBnGegy9Zj9LDMaRPn2d2pxakE9YdKPm8UM3WLP,dec,378765000,1012298745,633533745,So11111111111111111111111111111111111111111,9,1.0
