Txhash,BlockTimeUnix,BlockTime,Fee(SOL),TokenAccount,ChangeType,ChangeAmount,PreBalancer,PostBalancer,TokenAddress,TokenDecimals,TokenMultiplier
5Z893ckQgTADT4QRn4P1hrVpCjvJP4DqyWraGqvAbSZcvQbC4djQ9UV1CMihEL4HajQBJAgdRAowcnzS4okMUuFt,1754214313,2025-08-03T11:45:13,5.003e-06,ktWK8Yq55pQF1rrqWCAVEVv6SfhKh4dBPP7iFsz2dm9,inc,1818100951137,10493652790,1828594603927,53SDajfns8MnVbLnmbBkaAjgGqf3vBScEgm44E6wZqvA,6,1.0
5Z893ckQgTADT4QRn4P1hrVpCjvJP4DqyWraGqvAbSZcvQbC4djQ9UV1CMihEL4HajQBJAgdRAowcnzS4okMUuFt,1754214313,2025-08-03T11:45:13,5.003e-06,2Pr85M52YyJrTUxfbo1WqQfWGrnd3cg2KZvTN2nf4AMb,dec,1819012279935,775407691679385,773588679399450,53SDajfns8MnVbLnmbBkaAjgGqf3vBScEgm44E6wZqvA,6,1.0
5Z893ckQgTADT4QRn4P1hrVpCjvJP4DqyWraGqvAbSZcvQbC4djQ9UV1CMihEL4HajQBJAgdRAowcnzS4okMUuFt,1754214313,2025-08-03T11:45:13,5.003e-06,9rPYyANsfQZw3DnDmKE3YCQF5E8oD89UXoHn9JFEhJUz,inc,911328798,327730503261,328641832059,53SDajfns8MnVbLnmbBkaAjgGqf3vBScEgm44E6wZqvA,6,1.0
5pnauZR7BpPSeCHLgSRy6tns6tVxLhuHwepmnTF47Tj8jtBpkYBYKC7SrxU21kwU8MZGKGEhc9dK937pXRBc8urP,1754214290,2025-08-03T11:44:50,5.002e-06,ktWK8Yq55pQF1rrqWCAVEVv6SfhKh4dBPP7iFsz2dm9,dec,3784616592508,3795110245299,10493652790,53SDajfns8MnVbLnmbBkaAjgGqf3vBScEgm44E6wZqvA,6,1.0
5pnauZR7BpPSeCHLgSRy6tns6tVxLhuHwepmnTF47Tj8jtBpkYBYKC7SrxU21kwU8MZGKGEhc9dK937pXRBc8urP,1754214290,2025-08-03T11:44:50,5.002e-06,2Pr85M52YyJrTUxfbo1WqQfWGrnd3cg2KZvTN2nf4AMb,inc,3782729003185,765021752365967,768804481369153,53SDajfns8MnVbLnmbBkaAjgGqf3vBScEgm44E6wZqvA,6,1.0
5pnauZR7BpPSeCHLgSRy6tns6tVxLhuHwepmnTF47Tj8jtBpkYBYKC7SrxU21kwU8MZGKGEhc9dK937pXRBc8urP,1754214290,2025-08-03T11:44:50,5.002e-06,JCRGumoE9Qi5BBgULTgdgTLjSgkCMSbF62ZZfGs84JeU,inc,1887589322,414328230767,416215820090,53SDajfns8MnVbLnmbBkaAjgGqf3vBScEgm44E6wZqvA,6,1.0
ihD1aHzGfs5nXS2v9cc2r5zA6frphL8hhkUdUHc442cnD2QLWCB4vUJeKeLwieCymTdoGmZJn9r45cpc92JaxJN,1754214276,2025-08-03T11:44:36,5.003e-06,ktWK8Yq55pQF1rrqWCAVEVv6SfhKh4dBPP7iFsz2dm9,inc,2013209158326,1781901086972,3795110245299,53SDajfns8MnVbLnmbBkaAjgGqf3vBScEgm44E6wZqvA,6,1.0
ihD1aHzGfs5nXS2v9cc2r5zA6frphL8hhkUdUHc442cnD2QLWCB4vUJeKeLwieCymTdoGmZJn9r45cpc92JaxJN,1754214276,2025-08-03T11:44:36,5.003e-06,2Pr85M52YyJrTUxfbo1WqQfWGrnd3cg2KZvTN2nf4AMb,dec,2014218285724,757922172026557,755907953740832,53SDajfns8MnVbLnmbBkaAjgGqf3vBScEgm44E6wZqvA,6,1.0
ihD1aHzGfs5nXS2v9cc2r5zA6frphL8hhkUdUHc442cnD2QLWCB4vUJeKeLwieCymTdoGmZJn9r45cpc92JaxJN,1754214276,2025-08-03T11:44:36,5.003e-06,JCRGumoE9Qi5BBgULTgdgTLjSgkCMSbF62ZZfGs84JeU,inc,1009127398,410322685639,411331813037,53SDajfns8MnVbLnmbBkaAjgGqf3vBScEgm44E6wZqvA,6,1.0
2Zsmih2ZZSc18LFK2z7QiviSFEuG2mepayAN8o7TtwCycBhw1R9g7LEvNV5et2XdYgZNvNusTGadUfvpnbm3YTys,1754214133,2025-08-03T11:42:13,5.003e-06,ktWK8Yq55pQF1rrqWCAVEVv6SfhKh4dBPP7iFsz2dm9,inc,1704074749190,77826337782,1781901086972,53SDajfns8MnVbLnmbBkaAjgGqf3vBScEgm44E6wZqvA,6,1.0
2Zsmih2ZZSc18LFK2z7QiviSFEuG2mepayAN8o7TtwCycBhw1R9g7LEvNV5et2XdYgZNvNusTGadUfvpnbm3YTys,1754214133,2025-08-03T11:42:13,5.003e-06,2Pr85M52YyJrTUxfbo1WqQfWGrnd3cg2KZvTN2nf4AMb,dec,1704928921996,764643651049814,762938722127817,53SDajfns8MnVbLnmbBkaAjgGqf3vBScEgm44E6wZqvA,6,1.0
2Zsmih2ZZSc18LFK2z7QiviSFEuG2mepayAN8o7TtwCycBhw1R9g7LEvNV5et2XdYgZNvNusTGadUfvpnbm3YTys,1754214133,2025-08-03T11:42:13,5.003e-06,62qc2CNXwrYqQScmEdiZFFAnJR262PxWEuNQtxfafNgV,inc,854172806,289557529503,290411702310,53SDajfns8MnVbLnmbBkaAjgGqf3vBScEgm44E6wZqvA,6,1.0
2pyVzXg5gpgvEFU7wGBaLQCfaXWPTfAkGAZ9n6XhVgLZbSEEEsnTyqwFUTAi83VbrfEuxyTgJsyBuQNyds4E2eBx,1754214036,2025-08-03T11:40:36,5.002e-06,ktWK8Yq55pQF1rrqWCAVEVv6SfhKh4dBPP7iFsz2dm9,dec,6035563225049,6113389562831,77826337782,53SDajfns8MnVbLnmbBkaAjgGqf3vBScEgm44E6wZqvA,6,1.0
2pyVzXg5gpgvEFU7wGBaLQCfaXWPTfAkGAZ9n6XhVgLZbSEEEsnTyqwFUTAi83VbrfEuxyTgJsyBuQNyds4E2eBx,1754214036,2025-08-03T11:40:36,5.002e-06,2Pr85M52YyJrTUxfbo1WqQfWGrnd3cg2KZvTN2nf4AMb,inc,6032552969076,737066024563658,743098577532734,53SDajfns8MnVbLnmbBkaAjgGqf3vBScEgm44E6wZqvA,6,1.0
