Txhash,BlockTimeUnix,BlockTime,Fee(SOL),TokenAccount,ChangeType,ChangeAmount,PreBalancer,PostBalancer,TokenAddress,TokenDecimals,TokenMultiplier
3ETmMk7WZCo2j6dEcnAz1oY7PRegsoKmHHVqdFdp2KPiMLPRinjieGmiAAc6EUnKNKqxvou4QvK4DiKk83Vw4VN2,1754203510,2025-08-03T08:45:10,5e-06,GpMZbSM2GgvTKHJirzeGfMFoaZ8UR2X7F4v8vHTvxFbL,inc,1917799952,93940737702717,93942655502669,Ci4VBQjNUxeJc5AMDwcvaqFhgPDbj6N7YApqGusfbonk,6,1.0
3ETmMk7WZCo2j6dEcnAz1oY7PRegsoKmHHVqdFdp2KPiMLPRinjieGmiAAc6EUnKNKqxvou4QvK4DiKk83Vw4VN2,1754203510,2025-08-03T08:45:10,5e-06,HLnpSz9h2S4hiLQ43rnSD9XkcUThA7B8hQMKmDaiTLcC,dec,1917799951,460419210211,458501410259,Ci4VBQjNUxeJc5AMDwcvaqFhgPDbj6N7YApqGusfbonk,6,1.0
55GogFcNMeTeKirPC6GYvMvtNKviG9nXiPy8f9upGHjCFsEyj61xNWWfSwq6r3zms4ZFR5vPcEshZYptJWps4vpo,1754203091,2025-08-03T08:38:11,5e-06,GpMZbSM2GgvTKHJirzeGfMFoaZ8UR2X7F4v8vHTvxFbL,inc,2908419971,101867049045744,101869957465715,Ci4VBQjNUxeJc5AMDwcvaqFhgPDbj6N7YApqGusfbonk,6,1.0
55GogFcNMeTeKirPC6GYvMvtNKviG9nXiPy8f9upGHjCFsEyj61xNWWfSwq6r3zms4ZFR5vPcEshZYptJWps4vpo,1754203091,2025-08-03T08:38:11,5e-06,HLnpSz9h2S4hiLQ43rnSD9XkcUThA7B8hQMKmDaiTLcC,dec,2908419970,500311791508,497403371537,Ci4VBQjNUxeJc5AMDwcvaqFhgPDbj6N7YApqGusfbonk,6,1.0
4tGrrgJqnk18PMS42PXkcifZEUyf1y8B4TJWgttLvLLtgbvmXa4cmEwWeNsgvqmaH7j7BVVXuktPEHXdMzdVq4CW,1754202743,2025-08-03T08:32:23,5e-06,GpMZbSM2GgvTKHJirzeGfMFoaZ8UR2X7F4v8vHTvxFbL,inc,1844517208,105819372396020,105821216913228,Ci4VBQjNUxeJc5AMDwcvaqFhgPDbj6N7YApqGusfbonk,6,1.0
4tGrrgJqnk18PMS42PXkcifZEUyf1y8B4TJWgttLvLLtgbvmXa4cmEwWeNsgvqmaH7j7BVVXuktPEHXdMzdVq4CW,1754202743,2025-08-03T08:32:23,5e-06,HLnpSz9h2S4hiLQ43rnSD9XkcUThA7B8hQMKmDaiTLcC,dec,1844517208,258772580839,256928063631,Ci4VBQjNUxeJc5AMDwcvaqFhgPDbj6N7YApqGusfbonk,6,1.0
2ngszqzVbAtQ38uamDfXS5Z4m7JK3AShHxWzMY6CVAk23r6GvVkxL9NqFx8WVWidh1uvUZjYAhCmGNh2GDjKmnE9,1754167921,2025-08-02T22:52:01,5e-06,GpMZbSM2GgvTKHJirzeGfMFoaZ8UR2X7F4v8vHTvxFbL,inc,227153338,120016892368554,120017119521892,Ci4VBQjNUxeJc5AMDwcvaqFhgPDbj6N7YApqGusfbonk,6,1.0
2ngszqzVbAtQ38uamDfXS5Z4m7JK3AShHxWzMY6CVAk23r6GvVkxL9NqFx8WVWidh1uvUZjYAhCmGNh2GDjKmnE9,1754167921,2025-08-02T22:52:01,5e-06,HLnpSz9h2S4hiLQ43rnSD9XkcUThA7B8hQMKmDaiTLcC,dec,227153338,6057694671,5830541333,Ci4VBQjNUxeJc5AMDwcvaqFhgPDbj6N7YApqGusfbonk,6,1.0
2bkzBHMBXmhjnkoSKisob6BSbUZdZRETSWJU6cz8WKP1ouajeRo1vN3g6nyYntHyHC7ArC8yXTvkP1u1eYQAm7Er,1754167545,2025-08-02T22:45:45,5e-06,GpMZbSM2GgvTKHJirzeGfMFoaZ8UR2X7F4v8vHTvxFbL,inc,233470467,123895480473056,123895713943524,Ci4VBQjNUxeJc5AMDwcvaqFhgPDbj6N7YApqGusfbonk,6,1.0
2bkzBHMBXmhjnkoSKisob6BSbUZdZRETSWJU6cz8WKP1ouajeRo1vN3g6nyYntHyHC7ArC8yXTvkP1u1eYQAm7Er,1754167545,2025-08-02T22:45:45,5e-06,HLnpSz9h2S4hiLQ43rnSD9XkcUThA7B8hQMKmDaiTLcC,dec,233470468,6295871787,6062401319,Ci4VBQjNUxeJc5AMDwcvaqFhgPDbj6N7YApqGusfbonk,6,1.0
4bxGpxyDYu2FwDj5gXfNCYKgdRMuhrRQkQZj363CanC6L898hcZLX315fGRLzpStrgSEzuUiXFNd79jE6fUnqpKj,1754160650,2025-08-02T20:50:50,5e-06,GpMZbSM2GgvTKHJirzeGfMFoaZ8UR2X7F4v8vHTvxFbL,inc,686746899,141257107046603,141257793793502,Ci4VBQjNUxeJc5AMDwcvaqFhgPDbj6N7YApqGusfbonk,6,1.0
4bxGpxyDYu2FwDj5gXfNCYKgdRMuhrRQkQZj363CanC6L898hcZLX315fGRLzpStrgSEzuUiXFNd79jE6fUnqpKj,1754160650,2025-08-02T20:50:50,5e-06,HLnpSz9h2S4hiLQ43rnSD9XkcUThA7B8hQMKmDaiTLcC,dec,686746898,15745109903,15058363004,Ci4VBQjNUxeJc5AMDwcvaqFhgPDbj6N7YApqGusfbonk,6,1.0
