address,symbol,name,decimals,logo_uri,price_usdc,market_cap,liquidity_usd,volume_24h,price_change_24h,age_hours,pair_created_at,route_count,dexes,price_impact,has_dexscreener_data,is_tradeable,first_discovered_at,last_updated_at,discovery_source,tags,metadata,tx_count_24h,has_verified_contract,has_rug_check,rug_score,issues,quality_score,jupiter_ok,dex_ok,holders,invest_score
HHruLpQtvJiuEzVs5wH1VqVYYTYawjSyLoUdFR4orEBM,$PINU,Pepe Inu,6,https://cf-ipfs.com/ipfs/QmcH6ZoazojmhLvyHgtJnxEGG63pbzGPcKB3PtaWVV4Fxi,,,,,,,,,[],,0,0,2025-07-24 17:44:22,2025-07-24 17:44:22,jupiter,"[""unknown""]","{""jupiter_data"": {""logoURI"": ""https://cf-ipfs.com/ipfs/QmcH6ZoazojmhLvyHgtJnxEGG63pbzGPcKB3PtaWVV4Fxi"", ""extensions"": {}}, ""dexscreener_data"": {}, ""jupiter_price_data"": {}}",0,0,0,,,15.0,0,0,,
DPctgrGiqi7oC25ipQgpwByLsRWV4Rv6X3R1A3U5vUQv,$DOGE,SpongebobAnsemSonic69420wifInuAI,6,https://cf-ipfs.com/ipfs/QmYYfdrJdhJzajgnxwWQNtywwRRh3GdtHA1BW4MKsM2gXH,,18734.0,27043.65,6.4,,11270.828949560953,1712804079000,,[],,1,0,2025-07-24 17:44:23,2025-07-24 17:44:23,jupiter,"[""unknown""]","{""jupiter_data"": {""logoURI"": ""https://cf-ipfs.com/ipfs/QmYYfdrJdhJzajgnxwWQNtywwRRh3GdtHA1BW4MKsM2gXH"", ""extensions"": {}}, ""dexscreener_data"": {}, ""jupiter_price_data"": {}}",0,0,0,,,15.0,0,0,,
31BS2QnX5rQKggFxxPjCQsxkThMJ9SjzvVBZvrvfq1vX,$DOGE,SpongebobAnsemSonic69420wifInuAI,6,https://bafkreibhd4ircldyugzslxnch4fvrwttqvqguxooiimd65ss2w27pk2lfe.ipfs.nftstorage.link,,,,,,,,,[],,0,0,2025-07-24 17:44:24,2025-07-24 17:44:24,jupiter,"[""unknown"", ""token-2022""]","{""jupiter_data"": {""logoURI"": ""https://bafkreibhd4ircldyugzslxnch4fvrwttqvqguxooiimd65ss2w27pk2lfe.ipfs.nftstorage.link"", ""extensions"": {}}, ""dexscreener_data"": {}, ""jupiter_price_data"": {}}",0,0,0,,,15.0,0,0,,
F2msWUDQveUXdmZES8RF9BK5p8bCKWYkkWuZLeiMpump,$PINU,Pepe Inu Portal,6,https://cf-ipfs.com/ipfs/QmPQuc5kYE3hU4FFj7kVEH2izpUA3RR4k4Z5xxr2gaMT5G,,,,,,,,,[],,0,0,2025-07-24 17:44:24,2025-07-24 17:44:24,jupiter,"[""unknown""]","{""jupiter_data"": {""logoURI"": ""https://cf-ipfs.com/ipfs/QmPQuc5kYE3hU4FFj7kVEH2izpUA3RR4k4Z5xxr2gaMT5G"", ""extensions"": {}}, ""dexscreener_data"": {}, ""jupiter_price_data"": {}}",0,0,0,,,15.0,0,0,,
DWNAFrqV3WK6vpZv2AqMv79uDGg6DaGdNCNtbjZppump,$PINU,Pepe Inu,6,https://cf-ipfs.com/ipfs/QmcH6ZoazojmhLvyHgtJnxEGG63pbzGPcKB3PtaWVV4Fxi,,,,,,,,,[],,0,0,2025-07-24 17:44:25,2025-07-24 17:44:25,jupiter,"[""unknown""]","{""jupiter_data"": {""logoURI"": ""https://cf-ipfs.com/ipfs/QmcH6ZoazojmhLvyHgtJnxEGG63pbzGPcKB3PtaWVV4Fxi"", ""extensions"": {}}, ""dexscreener_data"": {}, ""jupiter_price_data"": {}}",0,0,0,,,15.0,0,0,,
W3HPFHeWk1E8QQww8k7jLdrdVvnbTNGMSjH7xgjYQzo,$DOGE,Dogelon Mars,5,https://bafkreihuw277cwkashuc2yrp62y7g7nvreoeb3ar4nmehbggmthz44xmce.ipfs.nftstorage.link,,,,,,,,,[],,0,0,2025-07-24 17:44:26,2025-07-24 17:44:26,jupiter,"[""unknown""]","{""jupiter_data"": {""logoURI"": ""https://bafkreihuw277cwkashuc2yrp62y7g7nvreoeb3ar4nmehbggmthz44xmce.ipfs.nftstorage.link"", ""extensions"": {}}, ""dexscreener_data"": {}, ""jupiter_price_data"": {}}",0,0,0,,,14.0,0,0,,
Fn6Pbi9DLcqXLzNafwiAcWux6kN8nxUWMBTcELYnC6Aj,$MAGAINU,MAGA INU COMMUNITY,6,https://cf-ipfs.com/ipfs/QmPxB9oE43yBHiJ4G5C9zc9MTJh3XJiimZr9vH7x2DBXEK,,,,,,,,,[],,0,0,2025-07-24 17:44:27,2025-07-24 17:44:27,jupiter,"[""unknown""]","{""jupiter_data"": {""logoURI"": ""https://cf-ipfs.com/ipfs/QmPxB9oE43yBHiJ4G5C9zc9MTJh3XJiimZr9vH7x2DBXEK"", ""extensions"": {}}, ""dexscreener_data"": {}, ""jupiter_price_data"": {}}",0,0,0,,,14.0,0,0,,
2UoCyjRYxgEvWrjobWg47jGu2eGnGjdVhL7kQFxsi98y,$TRUMPINU,Trump Inu,9,https://photos.pinksale.finance/file/pinksale-logo-upload/1710264267382-c47359af58cf676a484f54afccb3b5a4.jpeg,,,,,,,,,[],,0,0,2025-07-24 17:44:28,2025-07-24 17:44:28,jupiter,"[""unknown""]","{""jupiter_data"": {""logoURI"": ""https://photos.pinksale.finance/file/pinksale-logo-upload/1710264267382-c47359af58cf676a484f54afccb3b5a4.jpeg"", ""extensions"": {}}, ""dexscreener_data"": {}, ""jupiter_price_data"": {}}",0,0,0,,,14.0,0,0,,
2yd2Suus3YY4Sa7LHhn1PSHkjXj3XKrars4cCog2tGU8,$INA,pepeinatux,6,https://statics.solscan.io/cdn/imgs/s60?ref=68747470733a2f2f63662d697066732e636f6d2f697066732f516d6351324d7a4e7a686b714b5266554d50327042396d5a75317653396e714b32386d7654513848415063515150,,4549008.0,314616.8,25873.68,-2.2,10935.680271322972,1714010620000,,[],,1,0,2025-07-24 17:44:28,2025-07-24 17:44:28,jupiter,"[""community""]","{""jupiter_data"": {""logoURI"": ""https://statics.solscan.io/cdn/imgs/s60?ref=68747470733a2f2f63662d697066732e636f6d2f697066732f516d6351324d7a4e7a686b714b5266554d50327042396d5a75317653396e714b32386d7654513848415063515150"", ""extensions"": {}}, ""dexscreener_data"": {}, ""jupiter_price_data"": {}}",0,0,0,,,13.0,0,0,,
7G7SMGV9nSG316ykk6iobjMZWa8GZb15Wd25kgaZGTaZ,$DTJR,Donald Trump Jr.,6,https://statics.solscan.io/cdn/imgs/s60?ref=68747470733a2f2f63662d697066732e636f6d2f697066732f516d5a38556b52397a4c74566a3738437763667a4b7771377a57453463554463366448526d3574354b4c3462417a,,47801.0,53033.09,3.03,-0.64,9858.859578717584,1717887299000,,[],,1,0,2025-07-24 17:46:33,2025-07-24 17:46:33,jupiter,"[""community""]","{""jupiter_data"": {""logoURI"": ""https://statics.solscan.io/cdn/imgs/s60?ref=68747470733a2f2f63662d697066732e636f6d2f697066732f516d5a38556b52397a4c74566a3738437763667a4b7771377a57453463554463366448526d3574354b4c3462417a"", ""extensions"": {}}, ""dexscreener_data"": {}, ""jupiter_price_data"": {}}",0,0,0,,,13.0,0,0,,
